pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
mars-neptune,45.0,30,1.0,1.5811350919264588,1.073817983600575e-06,0.004975124378109453,0,,True
sun-pluto,150.0,30,0.9,1.423021582733813,0.001033180501451369,0.004975124378109453,6,1.0737279335410177,True
jupiter-saturn,120.0,69,0.8985507246376812,1.4207300826005862,5.530414060230201e-07,0.004975124378109453,69,1.4471985191205021,True
mars-uranus,60.0,75,0.8933333333333333,1.4124806821209699,3.261362206722815e-07,0.004975124378109453,38,1.44105591080505,True
sun-uranus,45.0,33,0.8787878787878788,1.3894823535111307,0.0016126623503627626,0.004975124378109453,7,0.9203382287494437,True
sun-neptune,90.0,32,0.875,1.3834932054356517,0.0022601461835835756,0.014925373134328358,6,1.3421599169262721,False
sun-saturn,180.0,30,0.8666666666666667,1.3703170796695978,0.004389543186017929,0.009950248756218905,6,1.3421599169262721,False
sun-pluto,0.0,36,0.8611111111111112,1.361532995825562,0.0022914053730317446,0.014925373134328358,12,1.6105919003115265,False
mars-saturn,90.0,34,0.8529411764705882,1.3486152254666854,0.004315399972896111,0.004975124378109453,0,,False
mercury-jupiter,120.0,46,0.8478260869565217,1.34052757793765,0.0011764925795321583,0.009950248756218905,18,1.5211145725164417,True
venus-saturn,90.0,31,0.8387096774193549,1.3261133029060623,0.010804302282446355,0.009950248756218905,10,0.8052959501557633,False
mars-jupiter,45.0,68,0.8382352941176471,1.3253632388207082,0.00016786512506179857,0.004975124378109453,41,1.3356127953802903,True
sun-pluto,45.0,36,0.8333333333333334,1.3176125766053826,0.007447513216235314,0.01990049751243781,12,1.3421599169262721,False
venus-jupiter,90.0,58,0.8275862068965517,1.3085255933184488,0.0009896654841797016,0.004975124378109453,5,1.6105919003115265,True
mercury-neptune,45.0,39,0.8205128205128205,1.2973416138883764,0.009033418886326045,0.01990049751243781,6,0.8052959501557633,False
mars-saturn,150.0,32,0.8125,1.284672262190248,0.02298575035762393,0.024875621890547265,11,1.0249221183800623,False
mars-neptune,135.0,32,0.8125,1.284672262190248,0.02298575035762393,0.024875621890547265,12,0.9395119418483905,False
sun-saturn,0.0,41,0.8048780487804879,1.2726209276481255,0.013790641371387045,0.029850746268656716,13,0.9911334771147856,False
mars-jupiter,120.0,35,0.8,1.2649080735411673,0.026300873821910327,0.03980099502487562,9,1.4316372447213568,False
sun-uranus,135.0,30,0.8,1.2649080735411673,0.039091398891641385,0.03482587064676617,6,1.6105919003115265,False
moon-venus,0.0,30,0.8,1.2649080735411673,0.039091398891641385,0.05472636815920398,9,1.4316372447213568,False
mercury-uranus,90.0,33,0.7878787878787878,1.2457427996996342,0.043452976128310866,0.04477611940298507,3,1.6105919003115265,False
mercury-venus,60.0,56,0.7857142857142857,1.2423204293707892,0.010431684752077536,0.01990049751243781,12,1.2079439252336448,False
mars-saturn,135.0,65,0.7846153846153846,1.2405829182807602,0.006311777975822408,0.009950248756218905,26,1.300862688713156,False
venus-neptune,0.0,54,0.7777777777777778,1.2297717381650237,0.016527608891404304,0.029850746268656716,34,1.2789994502473887,False
mercury-saturn,30.0,40,0.775,1.2253796962430057,0.04056355169152902,0.03980099502487562,7,1.6105919003115265,False
venus-pluto,135.0,31,0.7741935483870968,1.2241045872979037,0.07003967861867597,0.11442786069651742,11,0.5856697819314642,False
sun-neptune,135.0,31,0.7741935483870968,1.2241045872979037,0.07003967861867597,0.1044776119402985,6,0.5368639667705088,False
jupiter-uranus,0.0,35,0.7714285714285715,1.2197327852004112,0.05956927488314053,0.07462686567164178,0,,False
sun-uranus,120.0,30,0.7666666666666667,1.212203570476952,0.08802481000281198,0.13432835820895522,6,1.3421599169262721,False
mercury-neptune,180.0,30,0.7666666666666667,1.212203570476952,0.08802481000281198,0.07960199004975124,3,1.6105919003115265,False
sun-jupiter,90.0,34,0.7647058823529411,1.2091033055908216,0.07448363926434155,0.05970149253731343,7,1.6105919003115265,False
venus-neptune,135.0,50,0.76,1.2016626698641089,0.03935994447158792,0.05472636815920398,5,0.0,False
venus-mars,30.0,58,0.7586206896551724,1.1994817938752447,0.02897258685719252,0.01990049751243781,13,1.3628085310328302,False
moon-venus,135.0,41,0.7560975609756098,1.195492386578542,0.06646147209434744,0.0845771144278607,15,1.1811007268951195,False
mercury-pluto,60.0,35,0.7428571428571429,1.1745574968596553,0.11756958081003349,0.11940298507462686,22,1.2445482866043613,False
sun-jupiter,120.0,31,0.7419354838709677,1.1731002294938244,0.139732062732203,0.1791044776119403,6,0.8052959501557633,False
venus-saturn,0.0,65,0.7384615384615385,1.167607452499539,0.047585871632131155,0.06467661691542288,44,1.134735202492212,False
sun-moon,60.0,34,0.7352941176470589,1.162599332298867,0.14260833341092716,0.11442786069651742,8,1.2079439252336448,False
sun-moon,30.0,30,0.7333333333333333,1.1594990674127366,0.1697809618003623,0.1691542288557214,8,1.2079439252336448,False
venus-jupiter,60.0,30,0.7333333333333333,1.1594990674127366,0.1697809618003623,0.13930348258706468,6,1.6105919003115265,False
mars-pluto,135.0,70,0.7285714285714285,1.1519698526892772,0.05903624809245385,0.06467661691542288,0,,False
moon-pluto,0.0,33,0.7272727272727273,1.1499164304919702,0.17171837046632274,0.23383084577114427,9,1.0737279335410177,False
mercury-venus,30.0,102,0.7254901960784313,1.1470980078682154,0.030514422711114302,0.029850746268656716,23,1.1204117567384533,False
sun-mercury,0.0,164,0.7195121951219512,1.1376459807763546,0.01171776274535941,0.009950248756218905,45,0.8947732779508482,False
sun-moon,90.0,35,0.7142857142857143,1.1293822085188994,0.20520521491316146,0.23383084577114427,10,1.1274143302180686,False
sun-saturn,135.0,31,0.7096774193548387,1.1220958716897451,0.2432338261891962,0.24378109452736318,6,0.5368639667705088,False
mercury-uranus,120.0,31,0.7096774193548387,1.1220958716897451,0.2432338261891962,0.22388059701492538,3,1.6105919003115265,False
venus-pluto,90.0,31,0.7096774193548387,1.1220958716897451,0.2432338261891962,0.1890547263681592,11,0.8785046728971962,False
venus-pluto,45.0,31,0.7096774193548387,1.1220958716897451,0.2432338261891962,0.263681592039801,12,1.4763759086188992,False
jupiter-pluto,135.0,107,0.7009345794392523,1.108272260696116,0.08409305149086548,0.07960199004975124,38,1.0172159370388587,False
saturn-pluto,45.0,303,0.6996699669966997,1.1062727375855093,0.008300027409909379,0.024875621890547265,62,1.1430007034468899,False
mercury-pluto,0.0,43,0.6976744186046512,1.1031175059952039,0.2353082051019867,0.3034825870646766,8,1.6105919003115265,False
moon-mercury,150.0,43,0.6976744186046512,1.1031175059952039,0.2353082051019867,0.208955223880597,12,1.2079439252336448,False
sun-pluto,135.0,33,0.696969696969697,1.1020032458881381,0.2821829331436798,0.2537313432835821,6,1.6105919003115265,False
jupiter-saturn,45.0,168,0.6964285714285714,1.1011476533059268,0.04909671461131953,0.029850746268656716,0,,False
sun-moon,120.0,36,0.6944444444444444,1.0980104805044852,0.2784094455329036,0.27860696517412936,10,0.9663551401869159,False
sun-pluto,90.0,36,0.6944444444444444,1.0980104805044852,0.2784094455329036,0.27860696517412936,12,0.8052959501557633,False
moon-saturn,90.0,32,0.6875,1.0870303756994406,0.32692478699461325,0.2736318407960199,8,1.006619937694704,False
mars-pluto,180.0,67,0.6865671641791045,1.0855554362480166,0.2155350572005609,0.18407960199004975,23,1.1204117567384533,False
mercury-mars,120.0,35,0.6857142857142857,1.0842069201781432,0.32095099282351325,0.3383084577114428,0,,False
uranus-pluto,120.0,199,0.6834170854271356,1.0805747361909468,0.07708559376160916,0.0845771144278607,149,1.134980869347049,False
uranus-neptune,60.0,409,0.6821515892420538,1.0785738157640148,0.020221456381525754,0.024875621890547265,270,1.037937002422984,False
venus-uranus,90.0,50,0.68,1.0751718625099922,0.29433926153479595,0.32338308457711445,5,1.2884735202492212,False
