pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
venus-mars,180.0,34,0.7352941176470589,1.433726843794717,0.0069056148925466165,0.014925373134328358,0,,False
mars-jupiter,135.0,118,0.711864406779661,1.3880419884331225,8.493593496512889e-06,0.004975124378109453,32,1.4735269488428744,True
mercury-uranus,180.0,123,0.6910569105691057,1.3474701068509698,4.546397745230737e-05,0.004975124378109453,63,1.6166695667304678,True
sun-uranus,90.0,125,0.688,1.3415095332018407,5.312173633994311e-05,0.004975124378109453,25,1.2071132764920829,True
mercury-saturn,180.0,67,0.6865671641791045,1.3387156917581715,0.00295866373066282,0.004975124378109453,12,1.728938286642306,False
sun-mars,180.0,35,0.6857142857142857,1.3370526908988447,0.0292217938107888,0.03980099502487562,17,1.3313749373074444,False
moon-neptune,90.0,135,0.6814814814814815,1.3287992792266294,5.259200173399063e-05,0.004975124378109453,32,1.1198804811205847,True
mercury-pluto,180.0,68,0.6764705882352942,1.3190286962911397,0.004624395992172109,0.009950248756218905,20,0.4715286236297198,False
mercury-saturn,90.0,134,0.6716417910447762,1.3096131767199506,0.00014288314497365622,0.004975124378109453,12,1.4145858708891594,True
mars-jupiter,120.0,138,0.6666666666666666,1.2999123383738767,0.00018268691570052646,0.004975124378109453,36,1.2574096630125862,True
mars-uranus,60.0,294,0.6598639455782312,1.2866479267578166,2.4266938477196315e-07,0.004975124378109453,147,1.4242089040244599,True
venus-saturn,45.0,131,0.6564885496183206,1.280066348475039,0.0006226833559434653,0.004975124378109453,46,1.2710771593496795,True
mercury-neptune,60.0,150,0.6466666666666666,1.2609149682226604,0.0006395140574907503,0.009950248756218905,22,1.200254678330196,True
mercury-pluto,90.0,83,0.6385542168674698,1.2450967578400385,0.014140699622238892,0.009950248756218905,26,1.305771573128455,False
moon-pluto,150.0,138,0.6376811594202898,1.2433944106184907,0.002075463950719246,0.004975124378109453,36,0.8906651779672485,False
mercury-saturn,0.0,138,0.6304347826086957,1.2292649286796444,0.003539678078419703,0.009950248756218905,73,1.3952079822468422,False
